"","region","date","import_status","cases"
"263","Sinaloa",2020-04-22,"local",2
"264","Sinaloa",2020-04-23,"local",1
"265","Sinaloa",2020-04-27,"local",2
"266","Sinaloa",2020-04-29,"local",1
"267","Sinaloa",2020-04-30,"local",1
"268","Sinaloa",2020-05-01,"local",14
"269","Sinaloa",2020-05-02,"local",1
"270","Sinaloa",2020-05-03,"local",1
"271","Sinaloa",2020-05-04,"local",6
"272","Sinaloa",2020-05-07,"local",1
"273","Sinaloa",2020-05-08,"local",2
"274","Sonora",2020-04-12,"local",5
"275","Sonora",2020-04-13,"local",1
"276","Sonora",2020-04-19,"local",1
"277","Sonora",2020-04-21,"local",1
"278","Sonora",2020-05-01,"local",1
"279","Sonora",2020-05-06,"local",1
"280","Sonora",2020-05-07,"local",1
"281","Tabasco",2020-04-12,"local",12
"282","Tabasco",2020-04-14,"local",2
"283","Tabasco",2020-04-15,"local",1
"284","Tabasco",2020-04-16,"local",3
"285","Tabasco",2020-04-19,"local",6
"286","Tabasco",2020-04-20,"local",1
"287","Tabasco",2020-04-21,"local",4
"288","Tabasco",2020-04-22,"local",3
"289","Tabasco",2020-04-23,"local",3
"290","Tabasco",2020-04-24,"local",2
"291","Tabasco",2020-04-25,"local",1
"292","Tabasco",2020-04-26,"local",4
"293","Tabasco",2020-04-27,"local",1
"294","Tabasco",2020-04-28,"local",1
"295","Tabasco",2020-04-29,"local",2
"296","Tabasco",2020-04-30,"local",3
"297","Tabasco",2020-05-01,"local",7
"298","Tabasco",2020-05-02,"local",1
"299","Tabasco",2020-05-03,"local",3
"300","Tabasco",2020-05-04,"local",4
"301","Tabasco",2020-05-05,"local",1
"302","Tabasco",2020-05-06,"local",1
"303","Tabasco",2020-05-07,"local",3
"304","Tabasco",2020-05-08,"local",8
"305","Tamaulipas",2020-04-12,"local",3
"306","Tamaulipas",2020-04-15,"local",1
"307","Tamaulipas",2020-04-27,"local",1
"308","Tamaulipas",2020-04-29,"local",1
"309","Tamaulipas",2020-05-06,"local",1
"310","Tamaulipas",2020-05-09,"local",4
"311","Tlaxcala",2020-04-12,"local",2
"312","Tlaxcala",2020-04-22,"local",1
"313","Tlaxcala",2020-04-24,"local",1
"314","Tlaxcala",2020-04-28,"local",2
"315","Tlaxcala",2020-04-30,"local",1
"316","Tlaxcala",2020-05-06,"local",1
"317","Tlaxcala",2020-05-07,"local",1
"318","Tlaxcala",2020-05-08,"local",2
"319","Tlaxcala",2020-05-09,"local",1
"320","Veracruz",2020-04-12,"local",3
"321","Veracruz",2020-04-14,"local",1
"322","Veracruz",2020-04-15,"local",1
"323","Veracruz",2020-04-18,"local",1
"324","Veracruz",2020-04-19,"local",1
"325","Veracruz",2020-04-20,"local",3
"326","Veracruz",2020-04-22,"local",3
"327","Veracruz",2020-04-25,"local",1
"328","Veracruz",2020-04-26,"local",1
"329","Veracruz",2020-04-27,"local",3
"330","Veracruz",2020-04-29,"local",2
"331","Veracruz",2020-04-30,"local",3
"332","Veracruz",2020-05-02,"local",1
"333","Veracruz",2020-05-03,"local",1
"334","Veracruz",2020-05-04,"local",1
"335","Veracruz",2020-05-05,"local",2
"336","Veracruz",2020-05-07,"local",5
"337","Veracruz",2020-05-08,"local",2
"338","Veracruz",2020-05-09,"local",1
"339","Yucatan",2020-04-12,"imported",1
"340","Yucatan",2020-04-12,"local",5
"341","Yucatan",2020-04-18,"local",2
"342","Yucatan",2020-04-21,"local",1
"343","Yucatan",2020-04-22,"local",1
"344","Yucatan",2020-04-23,"local",2
"345","Yucatan",2020-04-29,"local",2
"346","Yucatan",2020-05-01,"local",2
"347","Yucatan",2020-05-07,"local",2
"348","Yucatan",2020-05-08,"local",2
"349","Zacatecas",2020-04-12,"local",2
"350","Zacatecas",2020-05-05,"local",1
