"region","date","import_status","cases"
"Michoacan","2020-04-23","local",2
"Michoacan","2020-04-25","local",1
"Michoacan","2020-04-27","local",1
"Michoacan","2020-04-28","local",1
"Michoacan","2020-05-02","local",1
"Michoacan","2020-05-06","local",2
"Michoacan","2020-05-09","local",1
"Michoacan","2020-05-16","local",2
"Michoacan","2020-05-18","local",1
"Michoacan","2020-05-19","local",1
"Michoacan","2020-05-20","local",1
"Michoacan","2020-05-26","local",1
"Michoacan","2020-05-27","local",6
"Michoacan","2020-05-28","local",4
"Michoacan","2020-05-29","local",1
"Michoacan","2020-06-02","local",2
"Michoacan","2020-06-03","local",2
"Morelos","2020-04-14","local",1
"Morelos","2020-04-21","local",1
"Morelos","2020-04-22","local",1
"Morelos","2020-04-23","local",1
"Morelos","2020-04-24","local",2
"Morelos","2020-04-29","local",1
"Morelos","2020-05-01","local",3
"Morelos","2020-05-03","local",1
"Morelos","2020-05-05","local",4
"Morelos","2020-05-13","local",2
"Morelos","2020-05-15","local",1
"Morelos","2020-05-20","local",1
"Morelos","2020-05-23","local",1
"Morelos","2020-05-27","local",1
"Morelos","2020-05-28","local",1
"Morelos","2020-05-30","local",1
"Morelos","2020-06-03","local",2
"Nayarit","2020-04-28","local",1
"Nayarit","2020-05-05","local",2
"Nayarit","2020-05-06","local",1
"Nayarit","2020-05-08","local",1
"Nayarit","2020-05-12","local",1
"Nayarit","2020-05-16","local",1
"Nayarit","2020-05-19","local",1
"Nayarit","2020-05-23","local",1
"Nayarit","2020-05-24","local",1
"Nayarit","2020-05-26","local",1
"Nayarit","2020-05-27","local",1
"Nayarit","2020-05-28","local",1
"Nayarit","2020-06-01","local",3
"Nayarit","2020-06-03","local",1
"Nuevo Leon","2020-04-23","local",1
"Nuevo Leon","2020-04-28","local",1
"Nuevo Leon","2020-05-02","local",1
"Nuevo Leon","2020-05-14","local",1
"Nuevo Leon","2020-05-21","local",1
"Nuevo Leon","2020-05-22","local",1
"Nuevo Leon","2020-05-27","local",1
"Nuevo Leon","2020-05-28","local",1
"Nuevo Leon","2020-05-31","local",1
"Nuevo Leon","2020-06-03","local",1
"Oaxaca","2020-04-13","local",1
"Oaxaca","2020-04-14","local",1
"Oaxaca","2020-04-22","local",1
"Oaxaca","2020-04-25","local",2
"Oaxaca","2020-04-26","local",1
"Oaxaca","2020-04-28","local",1
"Oaxaca","2020-04-29","local",1
"Oaxaca","2020-05-02","local",2
"Oaxaca","2020-05-05","local",1
"Oaxaca","2020-05-06","local",4
"Oaxaca","2020-05-07","local",1
"Oaxaca","2020-05-08","local",1
"Oaxaca","2020-05-09","local",2
"Oaxaca","2020-05-10","local",1
"Oaxaca","2020-05-12","local",2
"Oaxaca","2020-05-15","local",5
"Oaxaca","2020-05-16","local",2
"Oaxaca","2020-05-18","local",3
"Oaxaca","2020-05-20","local",1
"Oaxaca","2020-05-21","local",2
"Oaxaca","2020-05-22","local",1
"Oaxaca","2020-05-24","local",2
"Oaxaca","2020-05-25","local",2
"Oaxaca","2020-05-26","local",3
"Oaxaca","2020-05-27","local",5
"Oaxaca","2020-05-28","local",2
"Oaxaca","2020-05-29","local",4
"Oaxaca","2020-05-30","local",3
"Oaxaca","2020-05-31","local",2
"Oaxaca","2020-06-01","local",6
"Oaxaca","2020-06-02","local",1
"Oaxaca","2020-06-03","local",18
"Puebla","2020-04-13","local",1
"Puebla","2020-04-17","local",1
"Puebla","2020-04-18","local",3
"Puebla","2020-04-20","local",1
"Puebla","2020-04-22","local",1
"Puebla","2020-04-23","local",2
"Puebla","2020-04-28","local",1
"Puebla","2020-04-29","local",1
"Puebla","2020-05-01","local",1
"Puebla","2020-05-02","local",1
"Puebla","2020-05-04","local",1
"Puebla","2020-05-05","local",1
"Puebla","2020-05-06","local",1
"Puebla","2020-05-07","local",1
"Puebla","2020-05-08","local",3
"Puebla","2020-05-09","local",1
"Puebla","2020-05-12","local",1
"Puebla","2020-05-13","local",1
"Puebla","2020-05-21","local",3
"Puebla","2020-05-23","local",3
"Puebla","2020-05-24","local",5
"Puebla","2020-05-25","local",1
"Puebla","2020-05-26","local",1
"Puebla","2020-05-27","local",1
"Puebla","2020-05-28","local",3
"Puebla","2020-05-29","local",3
"Puebla","2020-05-31","local",1
"Puebla","2020-06-01","local",1
"Puebla","2020-06-02","local",4
"Puebla","2020-06-03","local",7
"Queretaro","2020-04-14","local",1
"Queretaro","2020-05-07","local",1
"Queretaro","2020-05-14","local",1
"Queretaro","2020-05-17","local",2
"Queretaro","2020-05-19","local",1
"Queretaro","2020-05-20","local",2
"Queretaro","2020-05-22","local",2
"Queretaro","2020-05-24","local",1
"Queretaro","2020-05-26","local",1
"Queretaro","2020-05-28","local",1
"Queretaro","2020-05-30","local",1
"Queretaro","2020-06-03","local",5
"Quintana Roo","2020-04-14","local",1
"Quintana Roo","2020-04-15","local",1
"Quintana Roo","2020-04-16","local",1
"Quintana Roo","2020-04-17","local",1
"Quintana Roo","2020-04-21","local",5
"Quintana Roo","2020-04-22","local",2
"Quintana Roo","2020-04-23","local",3
"Quintana Roo","2020-04-24","local",8
"Quintana Roo","2020-04-25","local",1
"Quintana Roo","2020-04-26","local",1
"Quintana Roo","2020-04-27","local",2
"Quintana Roo","2020-04-28","local",3
"Quintana Roo","2020-04-30","local",3
"Quintana Roo","2020-05-01","local",2
"Quintana Roo","2020-05-06","local",1
"Quintana Roo","2020-05-07","local",1
"Quintana Roo","2020-05-09","local",1
"Quintana Roo","2020-05-11","local",2
"Quintana Roo","2020-05-15","local",1
"Quintana Roo","2020-05-16","local",1
"Quintana Roo","2020-05-18","local",1
"Quintana Roo","2020-05-21","local",4
"Quintana Roo","2020-05-23","local",1
"Quintana Roo","2020-05-24","local",2
"Quintana Roo","2020-05-26","local",1
"Quintana Roo","2020-05-27","local",2
"Quintana Roo","2020-05-28","local",4
"Quintana Roo","2020-05-30","local",3
"Quintana Roo","2020-05-31","local",2
"Quintana Roo","2020-06-03","local",14
"San Luis Potosi","2020-04-23","local",1
"San Luis Potosi","2020-04-28","local",1
"San Luis Potosi","2020-05-01","local",2
"San Luis Potosi","2020-05-18","local",1
"San Luis Potosi","2020-05-20","local",1
"San Luis Potosi","2020-05-24","local",1
"San Luis Potosi","2020-05-27","local",2
"San Luis Potosi","2020-05-30","local",1
"San Luis Potosi","2020-06-02","local",1
"Sinaloa","2020-04-13","local",2
"Sinaloa","2020-04-15","local",1
"Sinaloa","2020-04-16","local",1
"Sinaloa","2020-04-17","local",1
"Sinaloa","2020-04-18","local",1
"Sinaloa","2020-04-21","local",2
"Sinaloa","2020-04-22","local",2
"Sinaloa","2020-04-23","local",1
"Sinaloa","2020-04-24","local",1
"Sinaloa","2020-04-27","local",2
"Sinaloa","2020-04-29","local",1
"Sinaloa","2020-04-30","local",1
"Sinaloa","2020-05-01","local",14
"Sinaloa","2020-05-02","local",1
"Sinaloa","2020-05-03","local",1
"Sinaloa","2020-05-04","local",2
"Sinaloa","2020-05-07","local",1
"Sinaloa","2020-05-08","local",2
"Sinaloa","2020-05-10","local",1
"Sinaloa","2020-05-11","local",1
"Sinaloa","2020-05-12","local",3
"Sinaloa","2020-05-13","local",2
"Sinaloa","2020-05-14","local",1
"Sinaloa","2020-05-15","local",4
"Sinaloa","2020-05-16","local",1
"Sinaloa","2020-05-18","local",2
"Sinaloa","2020-05-19","local",2
"Sinaloa","2020-05-20","local",1
"Sinaloa","2020-05-21","local",2
"Sinaloa","2020-05-22","local",3
"Sinaloa","2020-05-23","local",4
"Sinaloa","2020-05-24","local",8
"Sinaloa","2020-05-25","local",9
"Sinaloa","2020-05-27","local",3
"Sinaloa","2020-05-28","local",7
"Sinaloa","2020-05-29","local",10
"Sinaloa","2020-05-30","local",8
"Sinaloa","2020-05-31","local",5
"Sinaloa","2020-06-01","local",7
"Sinaloa","2020-06-02","local",5
"Sinaloa","2020-06-03","local",54
"Sonora","2020-04-13","local",1
"Sonora","2020-04-19","local",1
"Sonora","2020-04-21","local",1
"Sonora","2020-05-01","local",1
"Sonora","2020-05-06","local",1
"Sonora","2020-05-07","local",1
"Sonora","2020-05-10","local",1
"Sonora","2020-05-11","local",1
"Sonora","2020-05-15","local",1
"Sonora","2020-05-19","local",2
"Sonora","2020-05-21","local",2
"Sonora","2020-05-23","local",3
"Sonora","2020-05-24","local",5
"Sonora","2020-05-25","local",2
"Sonora","2020-05-26","local",3
"Sonora","2020-05-29","local",7
"Sonora","2020-05-30","local",1
"Sonora","2020-05-31","local",1
"Sonora","2020-06-01","local",1
"Sonora","2020-06-02","local",2
"Sonora","2020-06-03","local",7
"Tabasco","2020-04-14","local",2
"Tabasco","2020-04-15","local",1
"Tabasco","2020-04-16","local",3
"Tabasco","2020-04-19","local",6
"Tabasco","2020-04-20","local",1
"Tabasco","2020-04-21","local",4
"Tabasco","2020-04-22","local",3
"Tabasco","2020-04-23","local",3
"Tabasco","2020-04-24","local",2
"Tabasco","2020-04-25","local",1
"Tabasco","2020-04-26","local",4
"Tabasco","2020-04-27","local",1
"Tabasco","2020-04-28","local",1
"Tabasco","2020-04-29","local",2
"Tabasco","2020-04-30","local",3
"Tabasco","2020-05-01","local",7
"Tabasco","2020-05-02","local",1
"Tabasco","2020-05-03","local",3
"Tabasco","2020-05-04","local",4
"Tabasco","2020-05-05","local",1
"Tabasco","2020-05-06","local",1
"Tabasco","2020-05-07","local",3
"Tabasco","2020-05-08","local",8
"Tabasco","2020-05-11","local",4
"Tabasco","2020-05-12","local",6
"Tabasco","2020-05-13","local",3
"Tabasco","2020-05-14","local",2
"Tabasco","2020-05-17","local",4
"Tabasco","2020-05-19","local",4
"Tabasco","2020-05-20","local",5
"Tabasco","2020-05-21","local",2
"Tabasco","2020-05-23","local",4
"Tabasco","2020-05-24","local",2
"Tabasco","2020-05-25","local",1
"Tabasco","2020-05-26","local",3
"Tabasco","2020-05-27","local",1
"Tabasco","2020-05-28","local",2
"Tabasco","2020-05-29","local",3
"Tabasco","2020-05-30","local",2
"Tabasco","2020-05-31","local",3
"Tabasco","2020-06-01","local",10
"Tabasco","2020-06-02","local",11
"Tabasco","2020-06-03","local",14
"Tamaulipas","2020-04-15","local",1
"Tamaulipas","2020-04-27","local",1
"Tamaulipas","2020-04-29","local",1
"Tamaulipas","2020-05-06","local",1
"Tamaulipas","2020-05-09","local",4
"Tamaulipas","2020-05-10","local",1
"Tamaulipas","2020-05-11","local",2
"Tamaulipas","2020-05-14","local",1
"Tamaulipas","2020-05-19","local",1
"Tamaulipas","2020-05-20","local",1
"Tamaulipas","2020-05-23","local",1
"Tamaulipas","2020-05-24","local",1
"Tamaulipas","2020-05-26","local",1
"Tamaulipas","2020-05-29","local",1
"Tamaulipas","2020-05-30","local",2
"Tamaulipas","2020-06-01","local",1
"Tamaulipas","2020-06-02","local",2
"Tamaulipas","2020-06-03","local",1
"Tlaxcala","2020-04-22","local",1
"Tlaxcala","2020-04-24","local",1
"Tlaxcala","2020-04-28","local",2
"Tlaxcala","2020-04-30","local",1
"Tlaxcala","2020-05-06","local",1
"Tlaxcala","2020-05-07","local",1
"Tlaxcala","2020-05-08","local",2
"Tlaxcala","2020-05-09","local",1
"Tlaxcala","2020-05-11","local",1
"Tlaxcala","2020-05-13","local",3
"Tlaxcala","2020-05-15","local",1
"Tlaxcala","2020-05-16","local",1
"Tlaxcala","2020-05-19","local",3
"Tlaxcala","2020-05-20","local",1
"Tlaxcala","2020-05-21","local",1
"Tlaxcala","2020-05-23","local",1
"Tlaxcala","2020-05-24","local",1
"Tlaxcala","2020-05-27","local",1
"Tlaxcala","2020-05-29","local",1
"Tlaxcala","2020-06-03","local",4
"Veracruz","2020-04-14","local",1
"Veracruz","2020-04-15","local",1
"Veracruz","2020-04-18","local",1
"Veracruz","2020-04-19","local",1
"Veracruz","2020-04-20","local",3
"Veracruz","2020-04-22","local",3
"Veracruz","2020-04-25","local",1
"Veracruz","2020-04-26","local",1
"Veracruz","2020-04-27","local",3
"Veracruz","2020-04-29","local",2
"Veracruz","2020-04-30","local",3
"Veracruz","2020-05-02","local",1
"Veracruz","2020-05-03","local",1
"Veracruz","2020-05-04","local",1
"Veracruz","2020-05-05","local",2
"Veracruz","2020-05-07","local",5
"Veracruz","2020-05-08","local",2
"Veracruz","2020-05-09","local",1
"Veracruz","2020-05-11","local",4
"Veracruz","2020-05-12","local",8
"Veracruz","2020-05-13","local",1
"Veracruz","2020-05-14","local",5
"Veracruz","2020-05-15","local",1
"Veracruz","2020-05-16","local",5
"Veracruz","2020-05-18","local",2
"Veracruz","2020-05-19","local",4
"Veracruz","2020-05-20","local",1
"Veracruz","2020-05-21","local",11
"Veracruz","2020-05-22","local",8
"Veracruz","2020-05-23","local",3
"Veracruz","2020-05-24","local",20
"Veracruz","2020-05-25","local",4
"Veracruz","2020-05-26","local",9
"Veracruz","2020-05-27","local",1
"Veracruz","2020-05-28","local",4
"Veracruz","2020-05-29","local",3
"Veracruz","2020-05-30","local",4
"Veracruz","2020-05-31","local",1
"Veracruz","2020-06-01","local",12
"Veracruz","2020-06-02","local",8
"Veracruz","2020-06-03","local",13
"Yucatan","2020-04-18","local",2
"Yucatan","2020-04-21","local",1
"Yucatan","2020-04-22","local",1
"Yucatan","2020-04-23","local",2
"Yucatan","2020-04-29","local",2
"Yucatan","2020-05-01","local",2
"Yucatan","2020-05-07","local",2
"Yucatan","2020-05-08","local",2
"Yucatan","2020-05-12","local",1
"Yucatan","2020-05-14","local",1
"Yucatan","2020-05-20","local",1
"Yucatan","2020-05-21","local",1
"Yucatan","2020-05-23","local",1
"Yucatan","2020-05-24","local",1
"Yucatan","2020-05-25","local",1
"Yucatan","2020-05-26","local",1
